Day,Hour,in stock,out stock,product name,capacity,change in stock
27,00:00:00,53,119,21,172,No Change in Stock
27,00:30:00,53,119,21,172,No Change in Stock
27,01:00:00,53,119,21,172,No Change in Stock
27,01:30:00,53,119,21,172,No Change in Stock
27,02:00:00,53,119,21,172,No Change in Stock
27,02:30:00,53,119,21,172,No Change in Stock
27,03:00:00,53,119,21,172,No Change in Stock
27,03:30:00,53,119,21,172,No Change in Stock
27,04:00:00,53,119,21,172,No Change in Stock
27,04:30:00,53,119,21,172,No Change in Stock
27,05:00:00,53,119,21,172,No Change in Stock
27,05:30:00,53,119,21,172,No Change in Stock
27,06:00:00,53,119,21,172,No Change in Stock
27,06:30:00,65,107,21,172,Increase in Stock by 12: at 06:30:00
27,07:00:00,80,91,21,171,Increase in Stock by 15: at 07:00:00
27,07:30:00,80,91,21,171,No Change in Stock
27,08:00:00,79,92,21,171,No Change in Stock
27,08:30:00,79,92,21,171,No Change in Stock
27,09:00:00,79,92,21,171,No Change in Stock
27,09:31:00,79,92,21,171,No Change in Stock
27,10:00:00,78,93,21,171,No Change in Stock
27,10:30:00,78,93,21,171,No Change in Stock
27,11:00:00,77,94,21,171,No Change in Stock
27,11:30:00,76,95,21,171,No Change in Stock
27,12:00:00,72,99,21,171,No Change in Stock
27,13:00:00,69,102,21,171,No Change in Stock
27,13:30:00,69,102,21,171,No Change in Stock
27,14:00:00,69,102,21,171,No Change in Stock
27,14:30:00,68,103,21,171,No Change in Stock
27,15:00:00,67,104,21,171,No Change in Stock
27,15:30:00,67,104,21,171,No Change in Stock
27,16:00:00,66,105,21,171,No Change in Stock
27,16:30:00,66,105,21,171,No Change in Stock
27,17:00:00,66,105,21,171,No Change in Stock
27,17:30:00,65,106,21,171,No Change in Stock
27,18:00:00,64,107,21,171,No Change in Stock
27,19:00:00,62,109,21,171,No Change in Stock
27,20:00:00,61,110,21,171,No Change in Stock
27,20:30:00,60,111,21,171,No Change in Stock
27,21:00:00,56,115,21,171,No Change in Stock
27,21:30:00,54,117,21,171,No Change in Stock
27,22:00:00,54,117,21,171,No Change in Stock
27,22:30:00,54,117,21,171,No Change in Stock
27,23:00:00,54,117,21,171,No Change in Stock
27,23:30:00,53,118,21,171,No Change in Stock
