Day,Hour,in stock,out stock,product name,capacity,change in stock
25,00:00:00,98,71,23,169,No Change in Stock
25,00:30:00,98,71,23,169,No Change in Stock
25,01:00:00,98,71,23,169,No Change in Stock
25,01:30:00,98,71,23,169,No Change in Stock
25,02:00:00,98,71,23,169,No Change in Stock
25,02:30:00,98,71,23,169,No Change in Stock
25,03:00:00,95,74,23,169,No Change in Stock
25,04:30:00,93,76,23,169,No Change in Stock
25,05:00:00,93,76,23,169,No Change in Stock
25,05:30:00,93,76,23,169,No Change in Stock
25,06:00:00,93,76,23,169,No Change in Stock
25,06:30:00,93,76,23,169,No Change in Stock
25,07:01:00,93,76,23,169,No Change in Stock
25,07:30:00,93,76,23,169,No Change in Stock
25,08:00:00,93,76,23,169,No Change in Stock
25,08:30:00,93,76,23,169,No Change in Stock
25,09:00:00,93,76,23,169,No Change in Stock
25,09:30:00,93,76,23,169,No Change in Stock
25,10:00:00,93,76,23,169,No Change in Stock
25,10:30:00,93,76,23,169,No Change in Stock
25,11:00:00,93,76,23,169,No Change in Stock
25,11:30:00,93,76,23,169,No Change in Stock
25,12:00:00,93,76,23,169,No Change in Stock
25,12:30:00,93,76,23,169,No Change in Stock
25,13:00:00,93,76,23,169,No Change in Stock
25,13:30:00,93,76,23,169,No Change in Stock
25,14:00:00,93,76,23,169,No Change in Stock
25,14:30:00,93,76,23,169,No Change in Stock
25,15:00:00,93,76,23,169,No Change in Stock
25,15:30:00,93,76,23,169,No Change in Stock
25,16:00:00,93,76,23,169,No Change in Stock
25,16:30:00,93,76,23,169,No Change in Stock
25,17:00:00,93,76,23,169,No Change in Stock
25,17:30:00,93,76,23,169,No Change in Stock
25,18:00:00,93,76,23,169,No Change in Stock
25,18:30:00,93,76,23,169,No Change in Stock
25,19:30:00,93,76,23,169,No Change in Stock
25,20:30:00,93,76,23,169,No Change in Stock
25,21:00:00,93,76,23,169,No Change in Stock
25,21:30:00,93,76,23,169,No Change in Stock
25,22:00:00,93,76,23,169,No Change in Stock
25,22:30:00,93,76,23,169,No Change in Stock
25,23:00:00,93,76,23,169,No Change in Stock
25,23:30:00,93,76,23,169,No Change in Stock
26,00:00:00,93,76,23,169,No Change in Stock
26,00:31:00,93,76,23,169,No Change in Stock
26,01:00:00,93,76,23,169,No Change in Stock
26,01:30:00,93,76,23,169,No Change in Stock
